"targetUrl","httpStatus","sourcePages","sourceRouteCategories","targetRouteCategory","internal","publicationClass","targetHostname","targetPath","targetPathPrefix","sourceEvidenceCollections","repositoryExactPathExists","repositoryCandidates","caseMismatch","incorrectRelativePath","missingExtension","movedToKnownEvidencePath","retiredSharePointTenantUrl","historicalMicrosoft365TenantUrl","cloudflareGenerated","intentionallyUnavailableExternalResource","sourceMayBeModified","failureType","proposedRemediation","remediationType","finalClassification","exceptionRationale"
"http://127.0.0.1:4174/docs/architecture/","404","http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index.backup-bc7a44d9.html","preserved-sharepoint-published-derivative","first-party-site","true","compatibility-or-archival-target","127.0.0.1","/docs/architecture/","/docs/","preserved-sharepoint-export","false","","false","false","false","false","false","false","false","false","false","missing-from-preserved-export","Retain the source reference unchanged and expose the unavailable-target classification through its generated wrapper and audit record.","documented-exception","documented-archival-limitation","The preserved export references content that is not present in the reviewed repository collection; source bytes must remain unchanged."
"http://127.0.0.1:4174/docs/brand-guide/","404","http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index.backup-bc7a44d9.html","preserved-sharepoint-published-derivative","first-party-site","true","compatibility-or-archival-target","127.0.0.1","/docs/brand-guide/","/docs/","preserved-sharepoint-export","false","","false","false","false","false","false","false","false","false","false","missing-from-preserved-export","Retain the source reference unchanged and expose the unavailable-target classification through its generated wrapper and audit record.","documented-exception","documented-archival-limitation","The preserved export references content that is not present in the reviewed repository collection; source bytes must remain unchanged."
"http://127.0.0.1:4174/docs/certifications/","404","http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index.backup-bc7a44d9.html","preserved-sharepoint-published-derivative","first-party-site","true","compatibility-or-archival-target","127.0.0.1","/docs/certifications/","/docs/","preserved-sharepoint-export","false","","false","false","false","false","false","false","false","false","false","missing-from-preserved-export","Retain the source reference unchanged and expose the unavailable-target classification through its generated wrapper and audit record.","documented-exception","documented-archival-limitation","The preserved export references content that is not present in the reviewed repository collection; source bytes must remain unchanged."
"http://127.0.0.1:4174/docs/scripts/","404","http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index.backup-bc7a44d9.html","preserved-sharepoint-published-derivative","first-party-site","true","compatibility-or-archival-target","127.0.0.1","/docs/scripts/","/docs/","preserved-sharepoint-export","false","","false","false","false","false","false","false","false","false","false","missing-from-preserved-export","Retain the source reference unchanged and expose the unavailable-target classification through its generated wrapper and audit record.","documented-exception","documented-archival-limitation","The preserved export references content that is not present in the reviewed repository collection; source bytes must remain unchanged."
"http://127.0.0.1:4174/evidence-library/preserved-sharepoint/docs/script-documentation/index.html","404","http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-20260511161101-954eb724.html; http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-3a645174-ef5c2277.html; http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-518aa34f-40990595.html; http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-53b34588-91f0ffd6.html; http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-c3ee2d51-11a86631.html; http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-ce94a1e8-8994199a.html; http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-e2d0aec5-c28513bd.html","preserved-sharepoint-published-derivative","preserved-sharepoint-missing-docs","true","compatibility-or-archival-target","127.0.0.1","/evidence-library/preserved-sharepoint/docs/script-documentation/index.html","/evidence-library/preserved-sharepoint/docs/","preserved-sharepoint-export","false","archive/pre-site-upgrade-20260602/index.html; evidence-library/index.html; evidence-library/preserved-sharepoint/index.html; evidence-library/projects/on-prem-home-lab/infrastructure-validation-2026-07/index.html; evidence/public/index.html; index.html","false","false","false","false","false","false","false","false","false","missing-from-preserved-export","Retain the source reference unchanged and expose the unavailable-target classification through its generated wrapper and audit record.","documented-exception","documented-archival-limitation","The preserved export references an unavailable path and basename matching is ambiguous; source bytes must remain unchanged."
"http://127.0.0.1:4174/evidence-library/preserved-sharepoint/docs/script-documentation/library/m365-automation/Daily-M365-ChangeMonitor.ps1","404","http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-3a645174-ef5c2277.html","preserved-sharepoint-published-derivative","preserved-sharepoint-missing-docs","true","compatibility-or-archival-target","127.0.0.1","/evidence-library/preserved-sharepoint/docs/script-documentation/library/m365-automation/Daily-M365-ChangeMonitor.ps1","/evidence-library/preserved-sharepoint/docs/","preserved-sharepoint-export","false","","false","false","false","false","false","false","false","false","false","missing-from-preserved-export","Retain the source reference unchanged and expose the unavailable-target classification through its generated wrapper and audit record.","documented-exception","documented-archival-limitation","The preserved export references content that is not present in the reviewed repository collection; source bytes must remain unchanged."
"http://127.0.0.1:4174/evidence-library/preserved-sharepoint/docs/script-documentation/library/m365-automation/Daily-M365-ChangeMonitor.v2.ps1","404","http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-3a645174-ef5c2277.html","preserved-sharepoint-published-derivative","preserved-sharepoint-missing-docs","true","compatibility-or-archival-target","127.0.0.1","/evidence-library/preserved-sharepoint/docs/script-documentation/library/m365-automation/Daily-M365-ChangeMonitor.v2.ps1","/evidence-library/preserved-sharepoint/docs/","preserved-sharepoint-export","false","","false","false","false","false","false","false","false","false","false","missing-from-preserved-export","Retain the source reference unchanged and expose the unavailable-target classification through its generated wrapper and audit record.","documented-exception","documented-archival-limitation","The preserved export references content that is not present in the reviewed repository collection; source bytes must remain unchanged."
"http://127.0.0.1:4174/evidence-library/preserved-sharepoint/docs/script-documentation/library/m365-automation/Fix-ChangeNews-Dedup.ps1","404","http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-3a645174-ef5c2277.html","preserved-sharepoint-published-derivative","preserved-sharepoint-missing-docs","true","compatibility-or-archival-target","127.0.0.1","/evidence-library/preserved-sharepoint/docs/script-documentation/library/m365-automation/Fix-ChangeNews-Dedup.ps1","/evidence-library/preserved-sharepoint/docs/","preserved-sharepoint-export","false","","false","false","false","false","false","false","false","false","false","missing-from-preserved-export","Retain the source reference unchanged and expose the unavailable-target classification through its generated wrapper and audit record.","documented-exception","documented-archival-limitation","The preserved export references content that is not present in the reviewed repository collection; source bytes must remain unchanged."
"http://127.0.0.1:4174/evidence-library/preserved-sharepoint/docs/script-documentation/library/m365-automation/M365-Maintainer.ps1","404","http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-3a645174-ef5c2277.html","preserved-sharepoint-published-derivative","preserved-sharepoint-missing-docs","true","compatibility-or-archival-target","127.0.0.1","/evidence-library/preserved-sharepoint/docs/script-documentation/library/m365-automation/M365-Maintainer.ps1","/evidence-library/preserved-sharepoint/docs/","preserved-sharepoint-export","false","","false","false","false","false","false","false","false","false","false","missing-from-preserved-export","Retain the source reference unchanged and expose the unavailable-target classification through its generated wrapper and audit record.","documented-exception","documented-archival-limitation","The preserved export references content that is not present in the reviewed repository collection; source bytes must remain unchanged."
"http://127.0.0.1:4174/evidence-library/preserved-sharepoint/docs/script-documentation/library/m365-automation/_Logs/index.html","404","http://127.0.0.1:4174/evidence-library/preserved-sharepoint/source/docs/business/sharepoint/Artifacts/index-3a645174-ef5c2277.html","preserved-sharepoint-published-derivative","preserved-sharepoint-missing-docs","true","compatibility-or-archival-target","127.0.0.1","/evidence-library/preserved-sharepoint/docs/script-documentation/library/m365-automation/_Logs/index.html","/evidence-library/preserved-sharepoint/docs/","preserved-sharepoint-export","false","archive/pre-site-upgrade-20260602/index.html; evidence-library/index.html; evidence-library/preserved-sharepoint/index.html; evidence-library/projects/on-prem-home-lab/infrastructure-validation-2026-07/index.html; evidence/public/index.html; index.html","false","false","false","false","false","false","false","false","false","missing-from-preserved-export","Retain the source reference unchanged and expose the unavailable-target classification through its generated wrapper and audit record.","documented-exception","documented-archival-limitation","The preserved export references an unavailable path and basename matching is ambiguous; source bytes must remain unchanged."
